PARTICIPANT	PARTICIPANT_NAME
CHEBI:16196	oleic acid
CHEBI:34892	nocodazole
CHEBI:78432	ceritinib
CHEBI:7577	nisoldipine
CHEBI:2704	anastrozole
CHEBI:34848	mevastatin
CHEBI:42471	forskolin
CHEBI:49960	vandetanib
CHEBI:7565	nifedipine
CHEBI:15738	staurosporine
CHEBI:8887	rofecoxib
CHEBI:23359	colchicine
CHEBI:8871	risperidone
CHEBI:91435	linifanib
CHEBI:50924	sorafenib
CHEBI:8862	rilmenidine
CHEBI:27656	camptothecin
CHEBI:5864	ifosfamide
CHEBI:5855	ibuprofen
CHEBI:135002	irofulven
CHEBI:41977	daunorubicin
CHEBI:4518	dienestrol
CHEBI:5835	hypericin
CHEBI:41922	diethylstilbestrol
CHEBI:27666	actinomycin d
CHEBI:4551	digoxin
CHEBI:41948	eflornithine
CHEBI:79700	ridaforolimus
CHEBI:9367	swainsonine
CHEBI:90943	osimertinib
CHEBI:8028	perphenazine
CHEBI:175901	gemcitabine
CHEBI:90936	alectinib
CHEBI:76612	ibrutinib
CHEBI:8064	phenformin
