PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
CHEBI:10082	chemical-affects	ADRA2C	DrugBank			http://pathwaycommons.org/pc12/Control_44f5f2c32dcc5dffb7e4ea35bc9977c1;http://pathwaycommons.org/pc12/BiochemicalReaction_ed9c053bea47bb85f3c7b0a79b32edcf
CHEBI:10093	chemical-affects	ADRA2A	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_2612a1ef41ae12d1e9aa263254b2de30;http://pathwaycommons.org/pc12/Control_14fbae71c50dac0fb9a8c7b0cdc25b2d
CHEBI:10093	chemical-affects	ADRA2B	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_850ce157f78c91b70416ca9c69c06923;http://pathwaycommons.org/pc12/Control_13ef14e7528bb3f485b517e936144fd4
CHEBI:10093	chemical-affects	ADRA2C	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_ed9c053bea47bb85f3c7b0a79b32edcf;http://pathwaycommons.org/pc12/Control_533ad77b525255abb1fb9e2a4e9efab6
CHEBI:10093	chemical-affects	DRD2	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_e65328da4dffc9de1d649dbbd608a17e;http://pathwaycommons.org/pc12/Control_41764b0bf4ac1f1ae46bc75af9b506cf
CHEBI:10093	chemical-affects	DRD3	DrugBank			http://pathwaycommons.org/pc12/Control_34754e6fc381a3eb491534b77a9d0aa6;http://pathwaycommons.org/pc12/BiochemicalReaction_ca1c00cf8609f519a9215695acb9d0a3
CHEBI:10093	chemical-affects	HTR1A	DrugBank			http://pathwaycommons.org/pc12/Control_2037d68e801b567a8ce0f314d58fad8f;http://pathwaycommons.org/pc12/BiochemicalReaction_aaff4956f1c1dae370d145a7d433e1f9
CHEBI:10093	chemical-affects	HTR1B	DrugBank			http://pathwaycommons.org/pc12/Control_edd8e4151ae5e01e0abd01500f5e6638;http://pathwaycommons.org/pc12/BiochemicalReaction_7c93105cd0b32f5d672b2e684bb48ea0
CHEBI:10093	chemical-affects	HTR1D	DrugBank			http://pathwaycommons.org/pc12/Control_d6784e079a2122161e902099bd107590;http://pathwaycommons.org/pc12/BiochemicalReaction_79fedf056cd29a4e5c3603c71a9fc958
CHEBI:10093	chemical-affects	HTR2A	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_780815d05db354fe2dd51058f17e8c62;http://pathwaycommons.org/pc12/Control_3de0a69622c3ddc60c8be17cef800fdc
CHEBI:10093	chemical-affects	HTR2B	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_4fe1f9102f70442fd97ae583ecddc5eb;http://pathwaycommons.org/pc12/Control_0528f473a070bea6e37e2542c4072481
CHEBI:10093	chemical-affects	HTR2C	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_dfc8494fd6e490259ca4f22013068d19;http://pathwaycommons.org/pc12/Control_dd224289ad9f49ecab4b8542967fc68b
CHEBI:10093	chemical-affects	KCNJ10	DrugBank			http://pathwaycommons.org/pc12/Control_e9d4bc87b6ddae6945ed92d82d195e02;http://pathwaycommons.org/pc12/BiochemicalReaction_6e6e86fa6e331dd202e9d8b162e2c43e
CHEBI:10093	chemical-affects	KCNJ11	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_28e0cb6a84837023b0007c3162fec428;http://pathwaycommons.org/pc12/Control_e9d4bc87b6ddae6945ed92d82d195e02
CHEBI:10093	chemical-affects	KCNJ12	DrugBank			http://pathwaycommons.org/pc12/Control_e9d4bc87b6ddae6945ed92d82d195e02;http://pathwaycommons.org/pc12/BiochemicalReaction_66ac49b00bcc54f190283de011558be7
CHEBI:10093	chemical-affects	KCNJ14	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_ee8f82d717a9f02d156eece879a4b766;http://pathwaycommons.org/pc12/Control_e9d4bc87b6ddae6945ed92d82d195e02
CHEBI:10093	chemical-affects	KCNJ15	DrugBank			http://pathwaycommons.org/pc12/Control_e9d4bc87b6ddae6945ed92d82d195e02;http://pathwaycommons.org/pc12/BiochemicalReaction_844eeb36caedc5240b6d099ef13a0f73
CHEBI:10093	chemical-affects	KCNJ1	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_c89204b7bf1c4c8d0b176c01571ab83a;http://pathwaycommons.org/pc12/Control_e9d4bc87b6ddae6945ed92d82d195e02
CHEBI:10093	chemical-affects	KCNJ8	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_03df80e374368ecc9aef0d5f8f08508d;http://pathwaycommons.org/pc12/Control_e9d4bc87b6ddae6945ed92d82d195e02
CHEBI:10100	chemical-affects	CYSLTR1	DrugBank			http://pathwaycommons.org/pc12/Control_eeda15b679b01187a2e62d22769d8c64;http://pathwaycommons.org/pc12/BiochemicalReaction_dfb666d6f5db4957962828defce7a7e0
CHEBI:10102	chemical-affects	GABRA1	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_cc5fb3cece1eca328a3f78a44674ff57;http://pathwaycommons.org/pc12/Control_bafc563374b92713f115fc6fbb93db72
CHEBI:10102	chemical-affects	TSPO	DrugBank			http://pathwaycommons.org/pc12/Control_7cbe1040e50f110d0496b9daa8b17bf7;http://pathwaycommons.org/pc12/BiochemicalReaction_dd278a6abe872c9f034ecd61e125125b
CHEBI:101064	chemical-affects	LSS	DrugBank			http://pathwaycommons.org/pc12/Control_ad6790c0faf685a65e6820321c8bbe0b;http://pathwaycommons.org/pc12/BiochemicalReaction_a23870d6dacf36191b19049d37571592
CHEBI:101085	chemical-affects	CA1	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_f75e0ad7bb819fd7e54f59525510d470;http://pathwaycommons.org/pc12/Control_916a5ada77d1e264f6181702cdfa2129
CHEBI:101085	chemical-affects	CA2	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_8f619cc657a6e4744d62040ff43bbc42;http://pathwaycommons.org/pc12/Control_bc7ae087510600b162c0acda0fe8ae32
CHEBI:101085	chemical-affects	CA3	DrugBank			http://pathwaycommons.org/pc12/Control_1335e9e5e65eb34bf4b399047e51e466;http://pathwaycommons.org/pc12/BiochemicalReaction_a7ef62e22080ffd7f568b28ea35a8cf5
CHEBI:101085	chemical-affects	CA4	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_011a413df33a8c1d9d5ebb0d1f40a499;http://pathwaycommons.org/pc12/Control_344309a88445525e3fb1f540fbb68e75
CHEBI:101085	chemical-affects	CA7	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_05b5739cdefc8c6eba27e01425d1c459;http://pathwaycommons.org/pc12/Control_19ee72d880db9e7999410930d2d91f60
CHEBI:101096	chemical-affects	CA1	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_f75e0ad7bb819fd7e54f59525510d470;http://pathwaycommons.org/pc12/Control_124e79b675cda36b46852507e29ec434
CHEBI:101096	chemical-affects	CA2	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_8f619cc657a6e4744d62040ff43bbc42;http://pathwaycommons.org/pc12/Control_926c2a14315d37259d2a8b6f5aeccbc1
CHEBI:101096	chemical-affects	CA3	DrugBank			http://pathwaycommons.org/pc12/Control_d7c03a6c9735c2d18ce2e44ca4f1671a;http://pathwaycommons.org/pc12/BiochemicalReaction_a7ef62e22080ffd7f568b28ea35a8cf5
CHEBI:101096	chemical-affects	CA4	DrugBank			http://pathwaycommons.org/pc12/Control_848f822081abb683aec0326b5df83263;http://pathwaycommons.org/pc12/BiochemicalReaction_011a413df33a8c1d9d5ebb0d1f40a499
CHEBI:101096	chemical-affects	CA7	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_05b5739cdefc8c6eba27e01425d1c459;http://pathwaycommons.org/pc12/Control_e4ff722ee254a80ec1c36b496ffa22e9
CHEBI:10110	chemical-affects	TERT	DrugBank			http://pathwaycommons.org/pc12/Control_b4711a0253c4317aeade90959738f5e5;http://pathwaycommons.org/pc12/BiochemicalReaction_a04b63b7e86b6e1c3115c1ee4213636f
CHEBI:10112	chemical-affects	ALOX5	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_52a696ede847a1c64f2955c20d9ade45;http://pathwaycommons.org/pc12/Control_f88956b3f3f0fb386d31ef18cd2d4636
CHEBI:10119	chemical-affects	ADRA1A	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_96c637bcd965c61e3e6e1514323f80e0;http://pathwaycommons.org/pc12/Control_4147483127c05bb37d87a1e149faff34
CHEBI:10119	chemical-affects	ADRA1B	DrugBank			http://pathwaycommons.org/pc12/Control_4719688d5918e6ac4a0e4b2b36c707c7;http://pathwaycommons.org/pc12/BiochemicalReaction_b82e92a2961ef84f9eeaf5db76bee9ea
CHEBI:10119	chemical-affects	ADRA2A	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_2612a1ef41ae12d1e9aa263254b2de30;http://pathwaycommons.org/pc12/Control_b746e7d131b4669433eb2103c1fcc490
CHEBI:10119	chemical-affects	ADRA2B	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_850ce157f78c91b70416ca9c69c06923;http://pathwaycommons.org/pc12/Control_84efd99664567289229cb5d0de849847
CHEBI:10119	chemical-affects	ADRA2C	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_ed9c053bea47bb85f3c7b0a79b32edcf;http://pathwaycommons.org/pc12/Control_54ca44b9e493640ef3a546e7fbb1b8f7
CHEBI:10119	chemical-affects	CHRM1	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_1e9afa8b3da362d4ee72346b625bb09c;http://pathwaycommons.org/pc12/Control_77b17f63eca0a0aa650ee92bc5783dc2
CHEBI:10119	chemical-affects	CHRM2	DrugBank			http://pathwaycommons.org/pc12/Control_9d5a000d8098d7c332ee86e18c037ca1;http://pathwaycommons.org/pc12/BiochemicalReaction_cd2963841da42bba7e642ba3db0d18e4
CHEBI:10119	chemical-affects	CHRM3	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_f0970a9df21d4ec4c1e1df2dcb43c7b0;http://pathwaycommons.org/pc12/Control_bc472505be4d4c9188011e7e422ee873
CHEBI:10119	chemical-affects	CHRM4	DrugBank			http://pathwaycommons.org/pc12/Control_42eef63999c8090bb6d0088ca0a5739e;http://pathwaycommons.org/pc12/BiochemicalReaction_5f399a8fdb25b0223ef06b9b3593388f
CHEBI:10119	chemical-affects	CHRM5	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_3cb15115c31bd6b63a1fc435267a23dd;http://pathwaycommons.org/pc12/Control_07d74a81ef4539193e98487244210fb9
CHEBI:10119	chemical-affects	DRD1	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_6d01b124e008b1a8ac02d35c2f5e6ec5;http://pathwaycommons.org/pc12/Control_7f53ea2864b5e42a381928d6fcde8786
CHEBI:10119	chemical-affects	DRD2	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_e65328da4dffc9de1d649dbbd608a17e;http://pathwaycommons.org/pc12/Control_f3d0c92c1a5836562fe8ce6c0409fcea
CHEBI:10119	chemical-affects	DRD3	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_ca1c00cf8609f519a9215695acb9d0a3;http://pathwaycommons.org/pc12/Control_18c5452a6bd49b7fd8887dea2a2cb822
CHEBI:10119	chemical-affects	DRD4	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_40856bd5f530877bd325f0b93e74a4a2;http://pathwaycommons.org/pc12/Control_a9e68201f4e5b300552578df394c1e92
CHEBI:10119	chemical-affects	DRD5	DrugBank			http://pathwaycommons.org/pc12/Control_971c4ef153d52df1181df62953bd81c5;http://pathwaycommons.org/pc12/BiochemicalReaction_5c6accc4d03295803776f6be1bfbe704
CHEBI:10119	chemical-affects	HRH1	DrugBank			http://pathwaycommons.org/pc12/Control_899303ce2123bbfe28e628d6b6cfe16b;http://pathwaycommons.org/pc12/BiochemicalReaction_5aadb4d480e0bb7d86adaf9aaa87d767
CHEBI:10119	chemical-affects	HTR1A	DrugBank			http://pathwaycommons.org/pc12/Control_82795dc480e896ceae38f0a0e1703f8a;http://pathwaycommons.org/pc12/BiochemicalReaction_aaff4956f1c1dae370d145a7d433e1f9
CHEBI:10119	chemical-affects	HTR1B	DrugBank			http://pathwaycommons.org/pc12/Control_5d661239f21787e8ceb711fb15223de7;http://pathwaycommons.org/pc12/BiochemicalReaction_7c93105cd0b32f5d672b2e684bb48ea0
CHEBI:10119	chemical-affects	HTR1D	DrugBank			http://pathwaycommons.org/pc12/Control_e476b78d647f60a63599a90a12e10d94;http://pathwaycommons.org/pc12/BiochemicalReaction_79fedf056cd29a4e5c3603c71a9fc958
CHEBI:10119	chemical-affects	HTR1E	DrugBank			http://pathwaycommons.org/pc12/Control_00ecd819c86931c6bbfb92a6d4064102;http://pathwaycommons.org/pc12/BiochemicalReaction_e83f4792a9452127ef0447fda1bc6744
CHEBI:10119	chemical-affects	HTR2A	DrugBank			http://pathwaycommons.org/pc12/Control_feffb77ce6eb816b13f164d830c3fdb6;http://pathwaycommons.org/pc12/BiochemicalReaction_780815d05db354fe2dd51058f17e8c62
CHEBI:10119	chemical-affects	HTR2C	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_dfc8494fd6e490259ca4f22013068d19;http://pathwaycommons.org/pc12/Control_31d574b3d79ad956ae778972b76a8073
CHEBI:10119	chemical-affects	HTR3A	DrugBank			http://pathwaycommons.org/pc12/Control_b60c3e1020ada38439c8904556abe60d;http://pathwaycommons.org/pc12/BiochemicalReaction_169d31aa6fc15da15b0030e40878ad76
CHEBI:10119	chemical-affects	HTR6	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_3826eac516ddac8acefe5e70597dec13;http://pathwaycommons.org/pc12/Control_f95e1846ddf22863b980a42517c2e96d
CHEBI:10119	chemical-affects	HTR7	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_fb80a6a677d2fa782164d98deb234423;http://pathwaycommons.org/pc12/Control_34a0dff5808b1687e3126f9ed148214d
CHEBI:10124	chemical-affects	HTR1A	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_aaff4956f1c1dae370d145a7d433e1f9;http://pathwaycommons.org/pc12/Control_cc98af327059075f28fdac79478fe465
CHEBI:10124	chemical-affects	HTR1B	DrugBank			http://pathwaycommons.org/pc12/Control_4c798fdc51d1a9bb6d534a2de85de7dc;http://pathwaycommons.org/pc12/BiochemicalReaction_7c93105cd0b32f5d672b2e684bb48ea0
CHEBI:10124	chemical-affects	HTR1D	DrugBank			http://pathwaycommons.org/pc12/Control_ef79afc56045349f1c5887e022d2789c;http://pathwaycommons.org/pc12/BiochemicalReaction_79fedf056cd29a4e5c3603c71a9fc958
CHEBI:10124	chemical-affects	HTR1F	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_21fa1684af1c1419734f9fca0ac3da2d;http://pathwaycommons.org/pc12/Control_55ca542f643ae677e4d77b23269b6c32
CHEBI:10125	chemical-affects	GABRA1	DrugBank			http://pathwaycommons.org/pc12/Control_9cc7f80b490cc5bcff518751404fbffe;http://pathwaycommons.org/pc12/BiochemicalReaction_cc5fb3cece1eca328a3f78a44674ff57
CHEBI:10125	chemical-affects	GABRA2	DrugBank			http://pathwaycommons.org/pc12/Control_8103c96ad392177d59c3a723ef9e4865;http://pathwaycommons.org/pc12/BiochemicalReaction_8c3dee531566adcc99d101b40d9bccbc
CHEBI:10125	chemical-affects	GABRA3	DrugBank			http://pathwaycommons.org/pc12/Control_3eaa28d7175c1b4a1a49691ca9deeecb;http://pathwaycommons.org/pc12/BiochemicalReaction_f384210e4b3c5c98103b553194f34f4d
CHEBI:10125	chemical-affects	GABRG2	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_6ef3e19427ed0f378376a1cc50fab013;http://pathwaycommons.org/pc12/Control_a3981cbc87632840002f136e266f3aec
CHEBI:101278	chemical-affects	CACNA1C	DrugBank			http://pathwaycommons.org/pc12/Control_e316e46f00f80829060806b4a5b7db17;http://pathwaycommons.org/pc12/BiochemicalReaction_dd00fc8cf5fe390f5ede9042e6dde2af
CHEBI:101278	chemical-affects	CACNG1	DrugBank			http://pathwaycommons.org/pc12/Control_ee17c329b90bd30ce6ec151e1a78c00d;http://pathwaycommons.org/pc12/BiochemicalReaction_dc40a4b0d86b6d91f2d225324a1638ed
CHEBI:10127	chemical-affects	CA10	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_5d63d41941989452c56e8f346ad6730e;http://pathwaycommons.org/pc12/Control_4568ff5aff3e72a1c5a4689410dc23d0
CHEBI:10127	chemical-affects	CA11	DrugBank			http://pathwaycommons.org/pc12/Control_aa784460607cacfd8f912cccbe9827d9;http://pathwaycommons.org/pc12/BiochemicalReaction_1e95cbbc17cc0e0580a15cd56cda63f0
CHEBI:10127	chemical-affects	CA12	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_c59ffa1879051c8697e0eadfa63d4f06;http://pathwaycommons.org/pc12/Control_b061e17bd59c0e949f4b126ee6a3915e
CHEBI:10127	chemical-affects	CA13	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_1fd8a15957ca40e9714f6053b91c53be;http://pathwaycommons.org/pc12/Control_40646f19911f24dc507bbbabf2e1af58
CHEBI:10127	chemical-affects	CA14	DrugBank			http://pathwaycommons.org/pc12/Control_ca782c709cecff46bba2290d5103499a;http://pathwaycommons.org/pc12/BiochemicalReaction_6bcdf0f3f767bd1d89c2a16bd05a73e2
CHEBI:10127	chemical-affects	CA1	DrugBank			http://pathwaycommons.org/pc12/Control_19869cb0fdc4361a4b8b29965d0fe54f;http://pathwaycommons.org/pc12/BiochemicalReaction_f75e0ad7bb819fd7e54f59525510d470
CHEBI:10127	chemical-affects	CA2	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_8f619cc657a6e4744d62040ff43bbc42;http://pathwaycommons.org/pc12/Control_cdc419ad7fd41fd3ae022963a2633b16
CHEBI:10127	chemical-affects	CA3	DrugBank			http://pathwaycommons.org/pc12/Control_65994fd779120f67d090120b7940a8d6;http://pathwaycommons.org/pc12/BiochemicalReaction_a7ef62e22080ffd7f568b28ea35a8cf5
CHEBI:10127	chemical-affects	CA4	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_011a413df33a8c1d9d5ebb0d1f40a499;http://pathwaycommons.org/pc12/Control_1a19e9a4daca068752faa5866cd06de7
CHEBI:10127	chemical-affects	CA5A	DrugBank			http://pathwaycommons.org/pc12/Control_a5c3dbc38452898056bb706696a84c51;http://pathwaycommons.org/pc12/BiochemicalReaction_98ed74ea9cd9ecd3b54ce7e38d70b6e7
CHEBI:10127	chemical-affects	CA5B	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_f3d921452ce2402420ee436dddd57385;http://pathwaycommons.org/pc12/Control_7756f51ae5c124f7e7d8cc247d88717b
CHEBI:10127	chemical-affects	CA6	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_cc27480c868e93b115f11e559a5372c7;http://pathwaycommons.org/pc12/Control_6b12a59769b1a6d9a57f8f6c69fe7610
CHEBI:10127	chemical-affects	CA7	DrugBank			http://pathwaycommons.org/pc12/Control_a4daad35b8fdd67d194ee887ebeb60b6;http://pathwaycommons.org/pc12/BiochemicalReaction_05b5739cdefc8c6eba27e01425d1c459
CHEBI:10127	chemical-affects	CA8	DrugBank			http://pathwaycommons.org/pc12/Control_9eedf690d6511ba3f81f4a280a545d08;http://pathwaycommons.org/pc12/BiochemicalReaction_a4f4866c2c46006a306b386f5f050992
CHEBI:10127	chemical-affects	CA9	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_d8700e24a9033e7594148732e3cbd171;http://pathwaycommons.org/pc12/Control_fc8ae48a616db89eadaee3a89948a805
CHEBI:10127	chemical-affects	CACNA1G	DrugBank			http://pathwaycommons.org/pc12/Control_28c9ab6f6fc1ce07b97d4bd3715218d4;http://pathwaycommons.org/pc12/BiochemicalReaction_6532253b17c3c5d0bc57d0f493c33f3d
CHEBI:10127	chemical-affects	CACNA1H	DrugBank			http://pathwaycommons.org/pc12/Control_c446a2ef383b78e14bb21b2f706c6289;http://pathwaycommons.org/pc12/BiochemicalReaction_04a052c566108935a59257b13c5e0423
CHEBI:10127	chemical-affects	CACNA1I	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_3dcca40c3572f0d35ce12d09c137a28a;http://pathwaycommons.org/pc12/Control_b691eb06bcbb69eb5b0ebc51d15f66ad
CHEBI:10127	chemical-affects	MAOA	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_a16f787eec173614e01f8e826dc31053;http://pathwaycommons.org/pc12/Control_16368b7be0a14c37a9003e9c9522f28c
CHEBI:10127	chemical-affects	MAOB	DrugBank			http://pathwaycommons.org/pc12/Control_eb8734829703cd933dab69ee78a0530a;http://pathwaycommons.org/pc12/BiochemicalReaction_eae33369aebb4a25d928fac43abf1cd3
CHEBI:10127	chemical-affects	SCN11A	DrugBank			http://pathwaycommons.org/pc12/Control_5e69d3f58bb838471246215404178c24;http://pathwaycommons.org/pc12/BiochemicalReaction_299c7d995bfebb250c324431e64325ae
CHEBI:10127	chemical-affects	SCN1A	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_809357be55bbc272784a97471c9909f0;http://pathwaycommons.org/pc12/Control_ab1711e171ada2c91ea4bea5de4213a1
CHEBI:10127	chemical-affects	SCN1B	DrugBank			http://pathwaycommons.org/pc12/Control_65a6040ded9e57322af231d7d6fed10c;http://pathwaycommons.org/pc12/BiochemicalReaction_6a4896e7c5188a3173db453d689b60b8
CHEBI:10127	chemical-affects	SCN2A	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_4b3171f0b826df4bc3f8648d6312826c;http://pathwaycommons.org/pc12/Control_7bf11b6f33b1b09b3e0df0bc3a08df31
CHEBI:10127	chemical-affects	SCN2B	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_37f666b2f44686755c9044635b6503f8;http://pathwaycommons.org/pc12/Control_8cbb84cd7d8c423d06caa33a51401d35
CHEBI:10127	chemical-affects	SCN3A	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_149ed33edd239d6b9970f389160d17ca;http://pathwaycommons.org/pc12/Control_8517f4c313898e1225a27450ed9aa77d
CHEBI:10127	chemical-affects	SCN3B	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_6920d3ba20908b761e5a29d992136a08;http://pathwaycommons.org/pc12/Control_1b9c93ce2ab6c893be00cb7858d85bd2
CHEBI:10127	chemical-affects	SCN4A	DrugBank			http://pathwaycommons.org/pc12/Control_62f3fd74173c50c8e869e0aea6b4dd4e;http://pathwaycommons.org/pc12/BiochemicalReaction_53cb6cadef6071bbb402bb7e3d0e755f
CHEBI:10127	chemical-affects	SCN4B	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_3158e830d56ef6c00fd7fff9887ab123;http://pathwaycommons.org/pc12/Control_8f9fab56729af52b2de0b5a7aad038c4
CHEBI:10127	chemical-affects	SCN5A	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_5aebb9cc2c9adb9f3a89516ceb121cc8;http://pathwaycommons.org/pc12/Control_61413ff9c7c15524e37db4abe21cbd84
CHEBI:10127	chemical-affects	SCN9A	DrugBank			http://pathwaycommons.org/pc12/Control_a555bd240cb038936a3fac2d5e0ddf2e;http://pathwaycommons.org/pc12/BiochemicalReaction_bfd0a507e74004d41914fd219ee3219b
CHEBI:102029	chemical-affects	AKR1B1	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_20292f51f8b40bc277df41d85188b98e;http://pathwaycommons.org/pc12/Control_212b25119f7dfdc2f4650aeab92818ff
CHEBI:102166	chemical-affects	CHRM3	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_f0970a9df21d4ec4c1e1df2dcb43c7b0;http://pathwaycommons.org/pc12/Control_2ec4366f8d41399fa36e3ff99e47eb71
CHEBI:102166	chemical-affects	CHRNA4	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_89793979f11fa8b0ab0c406495b98e64;http://pathwaycommons.org/pc12/Control_ad4f70141eddcd1e7c01cfb031cea3b3
CHEBI:102166	chemical-affects	CHRNA7	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_2e9b551f85460af16bbb354eb9a2b7b7;http://pathwaycommons.org/pc12/Control_9bd3dc682fb30e53d108be383b3ffca1
CHEBI:102166	chemical-affects	FAAH	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_f939dd6ff253496d559a1ba78f9054bd;http://pathwaycommons.org/pc12/Control_3d314f67063ae06bd7b880deb844a8e7
CHEBI:102166	chemical-affects	GABRA1	DrugBank			http://pathwaycommons.org/pc12/BiochemicalReaction_cc5fb3cece1eca328a3f78a44674ff57;http://pathwaycommons.org/pc12/Control_3fda87b325d3135e32a14d6f7d407732
