PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B
CHEBI:10127	chemical-affects	CA12
CHEBI:10127	chemical-affects	CA13
CHEBI:10127	chemical-affects	CA14
CHEBI:10127	chemical-affects	CA1
CHEBI:10127	chemical-affects	CA2
CHEBI:10127	chemical-affects	CA3
CHEBI:10127	chemical-affects	CA4
CHEBI:10127	chemical-affects	CA5A
CHEBI:10127	chemical-affects	CA5B
CHEBI:10127	chemical-affects	CA6
CHEBI:10127	chemical-affects	CA7
CHEBI:10127	chemical-affects	CA8
CHEBI:10127	chemical-affects	CA9
CHEBI:10127	chemical-affects	CACNA1G
CHEBI:10127	chemical-affects	CACNA1H
CHEBI:10127	chemical-affects	CACNA1I
CHEBI:10127	chemical-affects	MAOA
CHEBI:10127	chemical-affects	MAOB
CHEBI:10127	chemical-affects	SCN11A
CHEBI:10127	chemical-affects	SCN1A
CHEBI:10127	chemical-affects	SCN1B
CHEBI:10127	chemical-affects	SCN2A
CHEBI:10127	chemical-affects	SCN2B
CHEBI:10127	chemical-affects	SCN3A
CHEBI:10127	chemical-affects	SCN3B
CHEBI:10127	chemical-affects	SCN4A
CHEBI:10127	chemical-affects	SCN4B
CHEBI:10127	chemical-affects	SCN5A
CHEBI:10127	chemical-affects	SCN9A
CHEBI:102029	chemical-affects	AKR1B1
CHEBI:102166	chemical-affects	CHRM3
CHEBI:102166	chemical-affects	CHRNA4
CHEBI:102166	chemical-affects	CHRNA7
CHEBI:102166	chemical-affects	FAAH
CHEBI:102166	chemical-affects	GABRA1
CHEBI:102166	chemical-affects	GABRA2
CHEBI:102166	chemical-affects	GABRA3
CHEBI:102166	chemical-affects	GABRA4
CHEBI:102166	chemical-affects	GABRA5
CHEBI:102166	chemical-affects	GABRA6
CHEBI:102166	chemical-affects	GRIA2
CHEBI:102166	chemical-affects	GRIK2
CHEBI:102167	chemical-affects	CYP26A1
CHEBI:102216	chemical-affects	GABRA1
CHEBI:102524	chemical-affects	CHRNA4
CHEBI:102524	chemical-affects	CHRNA7
CHEBI:102524	chemical-affects	GABRA1
CHEBI:102524	chemical-affects	GABRA2
CHEBI:102524	chemical-affects	GABRA3
CHEBI:102524	chemical-affects	GABRA4
CHEBI:102524	chemical-affects	GABRA5
CHEBI:102524	chemical-affects	GABRA6
CHEBI:102524	chemical-affects	GABRB1
CHEBI:102524	chemical-affects	GABRB2
CHEBI:102524	chemical-affects	GABRB3
CHEBI:102524	chemical-affects	GABRD
CHEBI:102524	chemical-affects	GABRE
CHEBI:102524	chemical-affects	GABRG1
CHEBI:102524	chemical-affects	GABRG2
CHEBI:102524	chemical-affects	GABRG3
CHEBI:102524	chemical-affects	GABRP
CHEBI:102524	chemical-affects	GABRQ
CHEBI:102524	chemical-affects	GRIA2
CHEBI:102524	chemical-affects	GRIK2
CHEBI:10304	chemical-affects	ADRA2A
CHEBI:10304	chemical-affects	ADRA2B
CHEBI:10304	chemical-affects	ADRA2C
CHEBI:103931	chemical-affects	ADRA1A
CHEBI:103932	chemical-affects	ABCB1
CHEBI:104017	chemical-affects	CHRM1
CHEBI:104017	chemical-affects	CHRM2
CHEBI:104017	chemical-affects	CHRM3
CHEBI:104017	chemical-affects	CHRM4
CHEBI:104017	chemical-affects	CHRM5
CHEBI:104017	chemical-affects	HRH1
CHEBI:10429	chemical-affects	RBP3
CHEBI:104872	chemical-affects	PDE4B
CHEBI:104872	chemical-affects	PDE4D
CHEBI:10588	chemical-affects	HTR2C
CHEBI:10607	chemical-affects	ESR1
CHEBI:10650	chemical-affects	HTR1A
CHEBI:10650	chemical-affects	HTR1B
CHEBI:10650	chemical-affects	HTR1D
CHEBI:10650	chemical-affects	HTR1F
CHEBI:106738	chemical-affects	CYC1
CHEBI:106738	chemical-affects	MT-CYB
CHEBI:106738	chemical-affects	UQCR10
CHEBI:106738	chemical-affects	UQCR11
CHEBI:106738	chemical-affects	UQCRB
CHEBI:106738	chemical-affects	UQCRC1
CHEBI:106738	chemical-affects	UQCRC2
CHEBI:106738	chemical-affects	UQCRFS1
CHEBI:106738	chemical-affects	UQCRH
CHEBI:106738	chemical-affects	UQCRQ
CHEBI:107660	chemical-affects	GRIN1
CHEBI:107736	chemical-affects	ACHE
CHEBI:107736	chemical-affects	CHRM1
CHEBI:107736	chemical-affects	DRD2
CHEBI:107736	chemical-affects	HTR3A
CHEBI:107736	chemical-affects	HTR4
CHEBI:109100	chemical-affects	CSNK2A1
CHEBI:109540	chemical-affects	CFD
CHEBI:109549	chemical-affects	MTNR1A
CHEBI:109549	chemical-affects	MTNR1B
CHEBI:109558	chemical-affects	NQO2
CHEBI:110423	chemical-affects	SLC25A4
CHEBI:110423	chemical-affects	SLC25A5
CHEBI:110423	chemical-affects	SLC25A6
CHEBI:113454	chemical-affects	MB
CHEBI:113556	chemical-affects	ADRA1A
CHEBI:113556	chemical-affects	ADRA1B
CHEBI:113556	chemical-affects	ADRA1D
CHEBI:113556	chemical-affects	ADRA2A
CHEBI:113556	chemical-affects	ADRA2B
CHEBI:113556	chemical-affects	ADRA2C
CHEBI:113556	chemical-affects	ADRB1
CHEBI:113556	chemical-affects	ADRB2
CHEBI:113556	chemical-affects	ADRB3
CHEBI:114785	chemical-affects	EGFR
CHEBI:114785	chemical-affects	NR1I2
CHEBI:116225	chemical-affects	MAOA
CHEBI:116225	chemical-affects	MAOB
CHEBI:116225	chemical-affects	MPO
CHEBI:116225	chemical-affects	SLC18A2
CHEBI:116225	chemical-affects	SLC6A2
CHEBI:116225	chemical-affects	SLC6A3
CHEBI:116225	chemical-affects	SLC6A4
CHEBI:116278	chemical-affects	TOP2A
CHEBI:116735	chemical-affects	SCN10A
CHEBI:119915	chemical-affects	ABCB1
CHEBI:119915	chemical-affects	OPRD1
CHEBI:119915	chemical-affects	OPRK1
CHEBI:119915	chemical-affects	OPRM1
CHEBI:125204	chemical-affects	CFB
CHEBI:125354	chemical-affects	CXCR4
CHEBI:125482	chemical-affects	PTGS1
CHEBI:125562	chemical-affects	HDAC8
CHEBI:125628	chemical-affects	AURKA
CHEBI:126237	chemical-affects	ADORA1
CHEBI:126237	chemical-affects	ADORA2A
CHEBI:126237	chemical-affects	ADORA2B
CHEBI:126237	chemical-affects	ADORA3
CHEBI:126237	chemical-affects	PDE4A
CHEBI:126237	chemical-affects	PDE4B
CHEBI:126598	chemical-affects	CYSLTR1
CHEBI:127342	chemical-affects	GRIN1
CHEBI:127342	chemical-affects	GRIN2A
CHEBI:127342	chemical-affects	GRIN2B
CHEBI:127342	chemical-affects	GRIN2C
CHEBI:127342	chemical-affects	GRIN2D
CHEBI:127342	chemical-affects	GRIN3A
CHEBI:127342	chemical-affects	GRIN3B
CHEBI:127342	chemical-affects	KCNJ3
CHEBI:127342	chemical-affects	OPRK1
CHEBI:127342	chemical-affects	SLC6A2
CHEBI:127342	chemical-affects	SLC6A4
CHEBI:130910	chemical-affects	CAPNS1
CHEBI:131169	chemical-affects	PIK3CD
CHEBI:131169	chemical-affects	PIK3CG
CHEBI:131504	chemical-affects	EGFR
CHEBI:131504	chemical-affects	SRC
CHEBI:131517	chemical-affects	PRSS1
CHEBI:131751	chemical-affects	DHFR
CHEBI:131762	chemical-affects	CFL1
CHEBI:131762	chemical-affects	DHODH
CHEBI:131762	chemical-affects	DSTN
CHEBI:131762	chemical-affects	IGHV3-23
CHEBI:131762	chemical-affects	IGKV1D-33
CHEBI:131762	chemical-affects	MAOB
CHEBI:131762	chemical-affects	NFE2L1
CHEBI:131762	chemical-affects	PMP2
CHEBI:131762	chemical-affects	RHO
CHEBI:131854	chemical-affects	TXNRD1
CHEBI:132084	chemical-affects	CAMK1G
CHEBI:132233	chemical-affects	ADRA1A
CHEBI:132233	chemical-affects	ADRA1B
CHEBI:132233	chemical-affects	ADRA1D
CHEBI:132233	chemical-affects	ADRA2A
CHEBI:132233	chemical-affects	ADRA2B
CHEBI:132233	chemical-affects	ADRA2C
CHEBI:132233	chemical-affects	ADRB1
CHEBI:132233	chemical-affects	ADRB2
CHEBI:132233	chemical-affects	ADRB3
CHEBI:132233	chemical-affects	CARTPT
CHEBI:132233	chemical-affects	DRD2
CHEBI:132233	chemical-affects	MAOA
CHEBI:132233	chemical-affects	MAOB
CHEBI:132233	chemical-affects	SLC18A2
CHEBI:132233	chemical-affects	SLC6A2
CHEBI:132233	chemical-affects	SLC6A3
CHEBI:132233	chemical-affects	SLC6A4
CHEBI:132233	chemical-affects	TAAR1
CHEBI:132268	chemical-affects	EGFR
CHEBI:132767	chemical-affects	FTL
CHEBI:132767	chemical-affects	HBA1
CHEBI:132767	chemical-affects	HBA2
CHEBI:132767	chemical-affects	HBB
CHEBI:132774	chemical-affects	EGLN1
CHEBI:132774	chemical-affects	EGLN2
CHEBI:132774	chemical-affects	EGLN3
CHEBI:133013	chemical-affects	SCN10A
CHEBI:133013	chemical-affects	SCN11A
CHEBI:133013	chemical-affects	SCN1A
CHEBI:133013	chemical-affects	SCN1B
CHEBI:133013	chemical-affects	SCN2A
CHEBI:133013	chemical-affects	SCN2B
CHEBI:133013	chemical-affects	SCN3A
CHEBI:133013	chemical-affects	SCN3B
CHEBI:133013	chemical-affects	SCN4A
CHEBI:133013	chemical-affects	SCN4B
CHEBI:133013	chemical-affects	SCN5A
CHEBI:133013	chemical-affects	SCN7A
CHEBI:133013	chemical-affects	SCN8A
CHEBI:133013	chemical-affects	SCN9A
CHEBI:133013	chemical-affects	SV2A
CHEBI:133017	chemical-affects	DRD2
CHEBI:133017	chemical-affects	HTR2A
CHEBI:133021	chemical-affects	BCL2
CHEBI:133023	chemical-affects	ITGAL
CHEBI:133809	chemical-affects	GGCX
CHEBI:134066	chemical-affects	AGXT
CHEBI:134066	chemical-affects	KYAT1
CHEBI:134066	chemical-affects	ODC1
CHEBI:134066	chemical-affects	PYGM
CHEBI:134126	chemical-affects	GABRA1
CHEBI:134126	chemical-affects	GABRR1
CHEBI:134126	chemical-affects	GLRA1
CHEBI:134126	chemical-affects	GLRA2
CHEBI:134126	chemical-affects	GLRA3
CHEBI:134677	chemical-affects	PDE4A
CHEBI:134677	chemical-affects	PDE4B
CHEBI:134677	chemical-affects	PDE4C
CHEBI:134677	chemical-affects	PDE4D
CHEBI:134689	chemical-affects	PARP1
CHEBI:134689	chemical-affects	PARP2
CHEBI:134689	chemical-affects	PARP3
CHEBI:134699	chemical-affects	COMT
CHEBI:134700	chemical-affects	CASR
CHEBI:134702	chemical-affects	ADRA1A
CHEBI:134702	chemical-affects	ADRA1B
CHEBI:134702	chemical-affects	ADRA1D
CHEBI:134702	chemical-affects	ADRA2A
CHEBI:134702	chemical-affects	ADRA2B
CHEBI:134702	chemical-affects	ADRA2C
CHEBI:134702	chemical-affects	HRH1
CHEBI:134702	chemical-affects	HTR2A
CHEBI:134702	chemical-affects	HTR2C
CHEBI:134702	chemical-affects	SLC6A4
CHEBI:134703	chemical-affects	GRIA1
CHEBI:134703	chemical-affects	GRIA2
CHEBI:134703	chemical-affects	GRIA3
CHEBI:134703	chemical-affects	GRIA4
CHEBI:134703	chemical-affects	GRIN1
CHEBI:134703	chemical-affects	GRIN2A
CHEBI:134703	chemical-affects	GRIN2B
CHEBI:134703	chemical-affects	GRIN2C
CHEBI:134703	chemical-affects	GRIN2D
CHEBI:134703	chemical-affects	GRIN3A
CHEBI:134703	chemical-affects	GRIN3B
CHEBI:134703	chemical-affects	SLC1A5
CHEBI:134703	chemical-affects	SLC7A3
CHEBI:134703	chemical-affects	SLC7A7
CHEBI:134709	chemical-affects	HRH3
CHEBI:134709	chemical-affects	KCNH2
CHEBI:134713	chemical-affects	F10
CHEBI:134713	chemical-affects	F2
CHEBI:134713	chemical-affects	F7
CHEBI:134713	chemical-affects	F9
CHEBI:134713	chemical-affects	GGCX
CHEBI:134713	chemical-affects	PROC
CHEBI:134713	chemical-affects	PROS1
CHEBI:134714	chemical-affects	MME
CHEBI:134716	chemical-affects	ADRA1B
CHEBI:134716	chemical-affects	ADRA2C
CHEBI:134716	chemical-affects	DRD2
CHEBI:134716	chemical-affects	HTR1A
CHEBI:134716	chemical-affects	HTR2A
CHEBI:134718	chemical-affects	MAOB
CHEBI:134720	chemical-affects	CHRM1
CHEBI:134720	chemical-affects	CHRM2
CHEBI:134720	chemical-affects	CHRM3
CHEBI:134721	chemical-affects	PNLIP
CHEBI:134736	chemical-affects	FOLR1
CHEBI:134736	chemical-affects	FOLR2
CHEBI:134736	chemical-affects	FOLR3
CHEBI:134765	chemical-affects	ADRA1A
CHEBI:134765	chemical-affects	SLC18A2
CHEBI:134783	chemical-affects	SLC18A2
CHEBI:134783	chemical-affects	TAAR1
CHEBI:134813	chemical-affects	KCNH2
CHEBI:134847	chemical-affects	ADRB2
CHEBI:134870	chemical-affects	MAOA
CHEBI:134884	chemical-affects	CHRNA4
CHEBI:134884	chemical-affects	CHRNA7
CHEBI:134884	chemical-affects	GABRA1
CHEBI:134884	chemical-affects	GABRA2
CHEBI:134884	chemical-affects	GABRA3
CHEBI:134884	chemical-affects	GABRA4
CHEBI:134884	chemical-affects	GABRA5
CHEBI:134884	chemical-affects	GABRA6
CHEBI:134884	chemical-affects	GRIA2
CHEBI:134884	chemical-affects	GRIK2
CHEBI:134895	chemical-affects	SLC6A3
CHEBI:134923	chemical-affects	CHRNA4
CHEBI:134923	chemical-affects	CHRNA7
CHEBI:134923	chemical-affects	GABRA1
CHEBI:134923	chemical-affects	GABRA2
CHEBI:134923	chemical-affects	GABRA3
CHEBI:134923	chemical-affects	GABRA4
CHEBI:134923	chemical-affects	GABRA5
CHEBI:134923	chemical-affects	GABRA6
CHEBI:134923	chemical-affects	GABRB1
CHEBI:134923	chemical-affects	GABRB2
CHEBI:134923	chemical-affects	GABRB3
CHEBI:134923	chemical-affects	GABRD
CHEBI:134923	chemical-affects	GABRE
CHEBI:134923	chemical-affects	GABRG1
CHEBI:134923	chemical-affects	GABRG2
CHEBI:134923	chemical-affects	GABRG3
CHEBI:134923	chemical-affects	GABRP
CHEBI:134923	chemical-affects	GABRQ
CHEBI:134923	chemical-affects	GRIA2
CHEBI:134923	chemical-affects	GRIK2
CHEBI:134966	chemical-affects	GRM5
CHEBI:134966	chemical-affects	SCN9A
CHEBI:134989	chemical-affects	ENPP1
CHEBI:134989	chemical-affects	IMPDH1
CHEBI:134989	chemical-affects	NT5C2
CHEBI:134990	chemical-affects	HTR2C
CHEBI:134990	chemical-affects	MTNR1A
CHEBI:134990	chemical-affects	MTNR1B
CHEBI:134991	chemical-affects	HTR1B
CHEBI:134991	chemical-affects	HTR1D
CHEBI:135002	chemical-affects	FUBP1
CHEBI:135005	chemical-affects	GRIN1
CHEBI:135005	chemical-affects	GRIN2A
CHEBI:135005	chemical-affects	GRIN2B
CHEBI:135005	chemical-affects	GRIN2C
CHEBI:135005	chemical-affects	GRIN2D
CHEBI:135005	chemical-affects	GRIN3A
CHEBI:135005	chemical-affects	GRIN3B
CHEBI:135005	chemical-affects	SLC6A2
CHEBI:135005	chemical-affects	SLC6A4
CHEBI:135010	chemical-affects	PDE3A
CHEBI:135076	chemical-affects	ADRA2A
CHEBI:135076	chemical-affects	ADRA2B
CHEBI:135076	chemical-affects	ADRA2C
CHEBI:135076	chemical-affects	HTR1A
CHEBI:135076	chemical-affects	HTR1B
CHEBI:135076	chemical-affects	HTR1D
CHEBI:135076	chemical-affects	HTR1E
CHEBI:135076	chemical-affects	HTR1F
CHEBI:135076	chemical-affects	HTR2A
CHEBI:135076	chemical-affects	HTR2B
CHEBI:135076	chemical-affects	HTR2C
CHEBI:135076	chemical-affects	HTR3A
CHEBI:135076	chemical-affects	HTR3B
CHEBI:135076	chemical-affects	HTR3C
CHEBI:135076	chemical-affects	HTR3D
CHEBI:135076	chemical-affects	HTR3E
CHEBI:135076	chemical-affects	HTR4
CHEBI:135076	chemical-affects	HTR6
CHEBI:135076	chemical-affects	HTR7
CHEBI:135089	chemical-affects	CNR1
CHEBI:135089	chemical-affects	PTGS1
CHEBI:135089	chemical-affects	PTGS2
CHEBI:135089	chemical-affects	TRPV1
CHEBI:135101	chemical-affects	DRD1
CHEBI:135101	chemical-affects	DRD5
CHEBI:135123	chemical-affects	ADRB1
CHEBI:135123	chemical-affects	ADRB2
CHEBI:135123	chemical-affects	ADRB3
CHEBI:135156	chemical-affects	HTR3A
CHEBI:135183	chemical-affects	HRH1
CHEBI:135193	chemical-affects	GABRB2
CHEBI:135193	chemical-affects	GABRB3
CHEBI:135207	chemical-affects	HRH1
CHEBI:135209	chemical-affects	ADRB2
CHEBI:135212	chemical-affects	ADRB1
CHEBI:135212	chemical-affects	ADRB2
CHEBI:135222	chemical-affects	CHRM2
CHEBI:135222	chemical-affects	HRH1
CHEBI:135227	chemical-affects	HRH1
CHEBI:135227	chemical-affects	HTR2A
CHEBI:135227	chemical-affects	SLC6A4
CHEBI:135233	chemical-affects	ACHE
CHEBI:135285	chemical-affects	DPP4
CHEBI:135289	chemical-affects	FOLH1
CHEBI:135314	chemical-affects	SCN5A
CHEBI:135323	chemical-affects	PGR
CHEBI:135339	chemical-affects	PGR
CHEBI:135342	chemical-affects	SLC6A2
CHEBI:135349	chemical-affects	ABCC8
CHEBI:135349	chemical-affects	PPARG
CHEBI:135351	chemical-affects	ADRA2B
CHEBI:135351	chemical-affects	DRD1
CHEBI:135351	chemical-affects	DRD2
CHEBI:135351	chemical-affects	DRD3
CHEBI:135351	chemical-affects	DRD4
CHEBI:135351	chemical-affects	DRD5
CHEBI:135351	chemical-affects	HTR1A
CHEBI:135356	chemical-affects	AR
CHEBI:135357	chemical-affects	MAOA
CHEBI:135357	chemical-affects	MAOB
CHEBI:135357	chemical-affects	SLC6A4
CHEBI:135370	chemical-affects	CALM1
CHEBI:135370	chemical-affects	SCN5A
CHEBI:135398	chemical-affects	ALB
CHEBI:135398	chemical-affects	AR
CHEBI:135398	chemical-affects	PGR
CHEBI:135413	chemical-affects	ADRB2
CHEBI:135422	chemical-affects	GABBR1
CHEBI:135422	chemical-affects	GABRA1
CHEBI:135440	chemical-affects	CHRM1
CHEBI:135440	chemical-affects	CHRM2
CHEBI:135440	chemical-affects	CHRM3
CHEBI:135440	chemical-affects	CHRM4
CHEBI:135440	chemical-affects	CHRM5
CHEBI:135446	chemical-affects	PGR
CHEBI:135456	chemical-affects	HSD11B2
CHEBI:135466	chemical-affects	F10
CHEBI:135466	chemical-affects	F12
CHEBI:135466	chemical-affects	F2
CHEBI:135466	chemical-affects	ICAM1
CHEBI:135466	chemical-affects	KLK1
CHEBI:135466	chemical-affects	PRSS1
CHEBI:135470	chemical-affects	ADRA1A
CHEBI:135491	chemical-affects	OPRM1
CHEBI:135521	chemical-affects	DRD3
CHEBI:135521	chemical-affects	HTR2C
CHEBI:135521	chemical-affects	SIGMAR1
CHEBI:135526	chemical-affects	ESR1
CHEBI:135526	chemical-affects	ESR2
CHEBI:135530	chemical-affects	CHRM1
CHEBI:135530	chemical-affects	CHRM2
CHEBI:135530	chemical-affects	CHRM3
CHEBI:135530	chemical-affects	CHRM4
CHEBI:135530	chemical-affects	CHRM5
CHEBI:135542	chemical-affects	TBXA2R
CHEBI:135542	chemical-affects	TBXAS1
CHEBI:135552	chemical-affects	HTR4
CHEBI:135556	chemical-affects	GABRA1
CHEBI:135556	chemical-affects	GABRB1
CHEBI:135556	chemical-affects	GABRD
CHEBI:135556	chemical-affects	GABRE
CHEBI:135556	chemical-affects	GABRG1
CHEBI:135556	chemical-affects	TSPO
CHEBI:135563	chemical-affects	AR
CHEBI:135563	chemical-affects	NR3C1
CHEBI:135563	chemical-affects	PGR
CHEBI:135566	chemical-affects	NR3C1
CHEBI:135569	chemical-affects	ADRA1A
CHEBI:135569	chemical-affects	ADRA1B
CHEBI:135569	chemical-affects	ADRA1D
CHEBI:135569	chemical-affects	ADRB1
CHEBI:135569	chemical-affects	ADRB2
CHEBI:135574	chemical-affects	CNR1
CHEBI:135574	chemical-affects	CNR2
CHEBI:135589	chemical-affects	ADRA1A
CHEBI:135589	chemical-affects	ADRA1B
CHEBI:135589	chemical-affects	ADRA1D
CHEBI:135589	chemical-affects	ADRA2A
CHEBI:135589	chemical-affects	ADRA2B
CHEBI:135589	chemical-affects	ADRA2C
CHEBI:135589	chemical-affects	CHRM1
CHEBI:135589	chemical-affects	CHRM2
CHEBI:135589	chemical-affects	CHRM3
CHEBI:135589	chemical-affects	CHRM4
CHEBI:135589	chemical-affects	CHRM5
CHEBI:135589	chemical-affects	DRD2
CHEBI:135589	chemical-affects	HTR2A
CHEBI:135589	chemical-affects	HTR2C
CHEBI:135593	chemical-affects	NOXO1
CHEBI:135594	chemical-affects	PTGER1
CHEBI:135594	chemical-affects	PTGER2
CHEBI:135594	chemical-affects	PTGER3
CHEBI:135594	chemical-affects	PTGER4
CHEBI:135613	chemical-affects	ADORA2A
CHEBI:135624	chemical-affects	ANXA3
CHEBI:135624	chemical-affects	NR3C1
CHEBI:135626	chemical-affects	PTGER2
CHEBI:135626	chemical-affects	PTGER3
CHEBI:135627	chemical-affects	DRD1
CHEBI:135627	chemical-affects	DRD2
CHEBI:135627	chemical-affects	DRD5
CHEBI:135630	chemical-affects	CACNA1C
CHEBI:135630	chemical-affects	PDE4A
CHEBI:135633	chemical-affects	PTGIR
CHEBI:135642	chemical-affects	HTR1A
CHEBI:135642	chemical-affects	HTR2A
CHEBI:135642	chemical-affects	HTR4
CHEBI:135652	chemical-affects	CACNA1G
CHEBI:135652	chemical-affects	CACNA1H
CHEBI:135652	chemical-affects	CACNA1I
CHEBI:135652	chemical-affects	CALM1
CHEBI:135652	chemical-affects	HRH1
CHEBI:135660	chemical-affects	ACE
CHEBI:135660	chemical-affects	MME
CHEBI:135666	chemical-affects	AGTR1
CHEBI:135666	chemical-affects	AGTR2
CHEBI:135673	chemical-affects	HRH1
CHEBI:135673	chemical-affects	PTAFR
CHEBI:135679	chemical-affects	HRH1
CHEBI:135679	chemical-affects	NTSR2
CHEBI:135686	chemical-affects	OPRD1
CHEBI:135686	chemical-affects	OPRK1
CHEBI:135686	chemical-affects	OPRM1
CHEBI:135696	chemical-affects	SLC6A3
CHEBI:135697	chemical-affects	HTR2A
CHEBI:135697	chemical-affects	HTR2C
CHEBI:135720	chemical-affects	NR3C1
CHEBI:135731	chemical-affects	KCNJ8
CHEBI:135736	chemical-affects	EDNRA
CHEBI:135736	chemical-affects	EDNRB
CHEBI:135737	chemical-affects	CACNA1C
CHEBI:135737	chemical-affects	CACNA1D
CHEBI:135737	chemical-affects	CACNA1F
CHEBI:135737	chemical-affects	CACNA1S
CHEBI:135737	chemical-affects	CACNB1
CHEBI:135737	chemical-affects	CACNB2
CHEBI:135737	chemical-affects	CACNB3
CHEBI:135737	chemical-affects	CACNB4
CHEBI:135738	chemical-affects	CACNA1C
CHEBI:135738	chemical-affects	CACNA1D
CHEBI:135738	chemical-affects	CACNA1F
CHEBI:135738	chemical-affects	CACNA1S
CHEBI:135741	chemical-affects	AR
CHEBI:135741	chemical-affects	ESR1
CHEBI:135741	chemical-affects	NR3C2
CHEBI:135746	chemical-affects	ANXA1
CHEBI:135746	chemical-affects	HSD11B2
CHEBI:135746	chemical-affects	HSD3B1
CHEBI:135746	chemical-affects	NR3C1
CHEBI:135747	chemical-affects	CCKAR
CHEBI:135756	chemical-affects	ACE
CHEBI:135769	chemical-affects	DRD1
CHEBI:135769	chemical-affects	DRD2
CHEBI:135769	chemical-affects	HTR1A
CHEBI:135769	chemical-affects	HTR2A
CHEBI:135771	chemical-affects	ACE
CHEBI:135779	chemical-affects	TOP2A
CHEBI:135783	chemical-affects	IL1B
CHEBI:135791	chemical-affects	NR3C1
CHEBI:135793	chemical-affects	CACNA1C
CHEBI:135804	chemical-affects	BCHE
CHEBI:135806	chemical-affects	CACNA1B
CHEBI:135806	chemical-affects	CACNA1C
CHEBI:135806	chemical-affects	CACNA1D
CHEBI:135806	chemical-affects	CACNA1F
CHEBI:135806	chemical-affects	CACNA1G
CHEBI:135806	chemical-affects	CACNA1H
CHEBI:135806	chemical-affects	CACNA1I
CHEBI:135806	chemical-affects	CACNA1S
CHEBI:135806	chemical-affects	CACNB1
